Name,Category,Latitude,Longitude,scalerank
Beach Garden Cafe,cafe,9.9650513,76.2388078,2
Bhagavathi Cafe,cafe,9.9569539,76.2542733,2
Burger Hut,cafe,9.9972025,76.3015431,2
Burger Spot,cafe,10.0281641,76.3053848,1
Café Crafters,cafe,9.9565008,76.2604001,2
Cafe Coffee Day,cafe,9.9658438,76.2418538,2
Cafe Coffee Day,cafe,9.9764703,76.2841114,2
Cafe Coffee Day,cafe,9.9633177,76.288018,2
Cafe Coffee Day,cafe,10.0131825,76.3630331,2
Cafe Vasco,cafe,9.9659009,76.2415208,1
Chaat Corner,cafe,10.0046639,76.305349,2
ChaiCofi,cafe,9.9917884,76.2931768,2
Cocoacraft Chocolate Factory,cafe,9.9865342,76.2766272,2
Costa Coffee,cafe,10.0273733,76.3083126,1
Cumbria The Lobby Lounge,cafe,9.9558162,76.2590182,2
David Hall,cafe,9.9650386,76.2393738,1
Dessert Mist,cafe,9.9576792,76.2515251,2
Dhe Kanjikkada,cafe,10.1010921,76.3482279,2
Elaf Snacks Kitchen,cafe,10.107063,76.3643587,2
Farmer's Café,cafe,9.9656332,76.241378,1
French Toast,cafe,9.9611136,76.2935942,2
Friends Cafe,cafe,9.9673955,76.244585,2
Indian Coffee House,cafe,9.9733575,76.2798591,1
Kashi art cafe,cafe,9.9665944,76.2433721,1
Lassi Shop,cafe,9.9946023,76.2923584,2
Loafers Corner Cafe,cafe,9.9658011,76.2420598,2
milma,cafe,10.041549,76.3287915,2
Mocha art cafe,cafe,9.9571619,76.259604,1
Nena's,cafe,9.9627881,76.2430516,2
Oys cafe,cafe,9.9665566,76.2428351,1
Oy's Cafe,cafe,9.9667546,76.2427861,2
Pai's Cool bar,cafe,9.957678,76.2514048,2
Scoops Ice Creams & Desserts,cafe,10.0257791,76.3065743,1
Solar Cafe,cafe,9.9681873,76.2517496,2
Sridhar Cafe,cafe,9.9794804,76.2764766,2
Tea Kochi,cafe,9.9604421,76.2588699,2
Tea Pot,cafe,9.9654881,76.2419781,1
Waffle House,cafe,9.9600573,76.2957231,2
Al Falah,fast_food,10.1484885,76.2283763,2
Anoop's Bakers,fast_food,9.9678047,76.2880173,2
Asoka Butter Store,fast_food,9.9682273,76.2855228,2
Bakery & Fruits Juice,fast_food,9.9680502,76.2843092,2
Bismi Fast Food,fast_food,10.1566837,76.3259973,2
Brothers Restaurant,fast_food,10.148993,76.2350308,2
Burger & More,fast_food,9.9680469,76.3138077,2
Burger spot,fast_food,10.0464543,76.3214678,2
Canteen,fast_food,10.016815,76.3425024,2
Cloud 7,fast_food,10.146738,76.2507265,2
Dominos Pizza,fast_food,10.0031251,76.3057739,1
Ernakulam District Panchayat Canteen,fast_food,10.0185961,76.3437428,2
Famous Bakers,fast_food,9.9677106,76.2880615,2
fast food,fast_food,10.1496071,76.2338861,2
Govt. canteen,fast_food,10.1483578,76.2306398,2
Heritage Bakery,fast_food,9.9684872,76.2857193,2
hotel,fast_food,10.0787776,76.3377926,2
Hotel Abhirami,fast_food,10.0617032,76.3230182,1
Hotel Aryaas,fast_food,9.9644758,76.2885328,1
Hotel Chanus,fast_food,9.9646998,76.2879965,2
Hotel Denny's,fast_food,9.9669014,76.3070407,2
Hotel Prabhath,fast_food,9.9661359,76.2885239,2
Indian Coffee House,fast_food,10.0176039,76.3443673,2
K R Bakes,fast_food,10.1487785,76.2297581,1
KRB,fast_food,10.1518009,76.1753101,2
Lijo's puttukada,fast_food,10.148578,76.2249988,2
Liya Tea Shop,fast_food,9.9864845,76.2834258,2
Majlis Hotel,fast_food,10.1492327,76.2348752,2
Manees hotel,fast_food,10.1077136,76.2619084,2
Matha Hotel and Fast Food,fast_food,9.9920734,76.281622,2
McDonald's,fast_food,10.0278448,76.3082245,1
McDonald's,fast_food,9.9807397,76.2833975,2
Mohanan Nair's Kada,fast_food,10.08532,76.2343025,2
Nair's puttum paripum,fast_food,10.0853528,76.2343336,2
Pai Dosa,fast_food,10.0299322,76.3049478,2
Pizza Hut,fast_food,9.9685174,76.2873849,2
Punchiri Hotel,fast_food,10.081488,76.3643521,2
Puttu kada,fast_food,10.1494086,76.2364958,2
Rappai's Fast food,fast_food,10.0022843,76.3056488,2
Sree Yadav Bhel Puri,fast_food,9.9591969,76.2554371,2
Subway,fast_food,9.9653726,76.295042,1
Sulu's Bakers,fast_food,9.9677812,76.288028,2
Ustad Hotel,fast_food,10.0892663,76.2082773,2
Village restaurant,fast_food,10.0570304,76.2914455,2
Zain Fast Food,fast_food,10.0816585,76.36448,2
Zam zam,fast_food,10.1496432,76.2240133,2
Lakshmi Chappathi Centre,food_court,9.989773,76.2821486,2
Royal Bakery and Food Court,food_court,10.0422209,76.3534496,2
Aadaminte Chayakkada,restaurant,10.1298799,76.3500409,2
Ali Baba & 41 Dishes,restaurant,9.9670719,76.2871148,2
Ali Baba Restaurants,restaurant,9.993427,76.2853721,2
Alibaba & 41 Dishes,restaurant,9.9596002,76.2961662,2
Alishan Restaurant,restaurant,9.9919153,76.2874898,2
Al-Maray,restaurant,9.9988327,76.296785,2
Ambatt Restaurant,restaurant,9.9783375,76.3340597,2
Amma,restaurant,9.9511382,76.3311282,2
Anandhas veg,restaurant,10.0259841,76.3064321,2
Annapurna,restaurant,9.9675512,76.244559,1
Anugraha Restuarant,restaurant,9.9678864,76.3179231,2
Appu Aur Pappu,restaurant,9.9654179,76.2940065,2
Arabian Fil Fil,restaurant,10.0429887,76.2989858,2
Arabian Grill,restaurant,10.0041069,76.3091517,2
Aruvi Natural Restaurant,restaurant,9.9821018,76.2845586,2
Aruvi Restaurant,restaurant,9.9879236,76.2792566,2
Arya Bhavan,restaurant,10.0552813,76.321528,1
Arya Bhavan,restaurant,9.968505,76.2877686,2
Aryas,restaurant,10.1704841,76.3729009,1
Ashok Bhavan,restaurant,9.9489309,76.292292,2
Atharva,restaurant,9.9577339,76.2561721,2
Atlanta Cafe n restaurant,restaurant,10.045228,76.2976849,2
B for Biryani Kochi.,restaurant,9.9628396,76.2546907,2
Balaji Restaurant,restaurant,9.9608309,76.2550946,2
Balos Restaurant,restaurant,9.9877455,76.2944441,2
Bambino Restaurant,restaurant,10.1079305,76.3569437,2
Barbeque Nation,restaurant,9.9830223,76.2821952,1
Beeranikka,restaurant,10.0616443,76.3497614,2
Beit Chabad ,restaurant,9.967284,76.242031,2
Beith Hotel,restaurant,10.0478572,76.3178239,2
Bimbis,restaurant,9.9784872,76.277013,1
Bimbi's Pure Vegetarian Hotel & Sweets,restaurant,9.9685809,76.2865135,2
Biriyani Hut,restaurant,10.0125268,76.3025613,2
Bluemoon Hotel,restaurant,10.0487277,76.3166962,2
Bread World,restaurant,10.0230938,76.341304,1
Brindavan,restaurant,10.0024798,76.3070167,1
Brindavan Restaurant,restaurant,10.0030524,76.3069322,1
Cafe Cuba,restaurant,9.9671852,76.2434435,2
Carnival Food Court,restaurant,10.0176879,76.3513032,2
Carnival Food Court,restaurant,10.1616841,76.3650548,2
Casa Linda,restaurant,9.966658,76.2455688,1
Caza Maria,restaurant,9.9586771,76.2595398,2
Chariot Restaurant,restaurant,9.9764192,76.2835801,2
Chic King,restaurant,10.0034835,76.3085617,2
Chicago Revolving Restaurant,restaurant,9.9784097,76.2855527,2
Chilli Restaurant,restaurant,10.1572688,76.3924697,2
Chillies,restaurant,10.1606149,76.3612836,2
Chiyang,restaurant,9.9858679,76.28105,2
Chopstick Thai,restaurant,10.0041439,76.3101656,2
Chunkam Restaurant,restaurant,10.1567951,76.3262765,2
Cinema Cafe,restaurant,9.9883345,76.2796824,2
Cinnamon,restaurant,9.964779,76.2411123,2
City Light,restaurant,9.9644086,76.2456537,2
Colombo,restaurant,9.9736706,76.2808261,2
Container Cafe,restaurant,10.0260416,76.3063897,2
Cook your fish,restaurant,9.9671597,76.2435228,2
Cuba Cafe,restaurant,9.9672023,76.2432536,2
Dal Roti,restaurant,9.9640157,76.2398159,1
De-Paris,restaurant,9.9456345,76.2551757,2
Dhe Puttu,restaurant,10.0203387,76.3107871,1
Domino's,restaurant,10.003008,76.3059385,2
Domino's,restaurant,9.9640517,76.3181681,2
Dominos,restaurant,9.9606434,76.2889753,2
dosa and pancakes,restaurant,9.9687342,76.2499043,2
Dosa Hub Restaurant,restaurant,10.1955796,76.3863669,2
east India cafe,restaurant,9.9670638,76.2525243,1
East Indies,restaurant,9.9647989,76.2388846,1
