Name,Category,Latitude ,Longitude
Abrahams Villa,hostel,9.982084,76.2964077
Alakananda,hostel,10.0462645,76.3251322
Aroma Home Stay,hostel,9.9600611,76.2407451
Dream Paradise Hostel,hostel,9.9640008,76.2447773
El casa,hostel,9.9558291,76.2414502
Grand Hostel,hostel,9.9985941,76.2929735
Hostel Flutterby,hostel,9.9591265,76.2399036
Kevin's Placid Homestay,hostel,9.9627301,76.2433758
Panikanthara apartments,hostel,10.047101,76.3352832
Rampart Home Stay,hostel,9.9602682,76.2427019
Tantraa homestay,hostel,9.9603762,76.2400869
The Sand Castle,hostel,10.10129,76.189652
Tree loft,hostel,9.9603577,76.2403197
Vimalalayam,hostel,9.9871059,76.2834392
YMCA,hostel,9.9769727,76.2853891
Yoga Inn Art Hostel,hostel,9.9621478,76.2428646
YWCA,hostel,9.9779818,76.2856493
Abad Airport Hotel,hotel,10.160051,76.3852175
Abad Pepper Route,hotel,9.9671917,76.2452431
Accardia Residency,hotel,9.9919265,76.2874817
Adam's Old Inn,hotel,9.9662088,76.2427734
al maray,hotel,10.0009683,76.2942938
Alankar Elite Inns and Hotels,hotel,10.1081313,76.3569927
Alappat Regency,hotel,10.0018035,76.3054396
ALDOS ARK HOME STAY,hotel,9.9621929,76.2422395
Aura One Hotel Kochi,hotel,10.028121,76.3097847
Backpackers Inn,hotel,9.9661892,76.2442767
Ballard Bungalow Heritage Hotel,hotel,9.9679439,76.2462368
Beach Valley,hotel,10.1378878,76.1799079
Beaumonde The Fern,hotel,9.9698377,76.289952
Beena Homestay,hotel,9.9545254,76.2415767
Bernard Bungalow,hotel,9.9644474,76.2398189
Bharat Hotel,hotel,9.9673666,76.2816219
Bjiu Tourist Home,hotel,9.9740077,76.2807616
Bright Heritage,hotel,9.9668303,76.2449462
BTH SAROVARAM,hotel,9.9491892,76.3182075
Caza Maria,hotel,9.9586771,76.2595398
Chack Inn Home Stay,hotel,9.963152,76.2452975
Cherai Beach Resorts,hotel,10.136164,76.1804475
Cherai Tourist Home,hotel,10.1392559,76.1950703
Chiramel Residency,hotel,9.96426,76.23988
ChristVille Home Stay,hotel,9.9628995,76.2421207
Costa Gama Homestay,hotel,9.9591478,76.2440784
Crowne Plaza,hotel,9.933915,76.3189891
