Name,Category,Latitude,Longitude
Divine,Pub,9.9643102,76.2392822
Hotel Cochin Fort,Pub,9.9681588,76.245438
HOTEL ZENANA (BAR),Pub,9.9603938,76.3685286
Joyes Bar,Pub,9.94704,76.3760073
Kottavathil Tourist home,Pub,9.9455973,76.346865
Lotus Club,Pub,9.9674745,76.2845428
Mermaid Inn,Pub,9.9716173,76.3242623
Periyar Club,Pub,10.1266741,76.3491109
Rama Varma Club,Pub,9.9685337,76.2848991
Sareena Cool Bar,Pub,9.9670417,76.2883638
Seagate Bar & Restaurant,Pub,10.0391372,76.3153755
Gold Souke Grande,Mall,9.9777644,76.3162269
Holy Tuesday Shopping Mall,Mall,9.9973519,76.2949268
Penta Menaka,Mall,9.9783639,76.2771896
Deer Park - Hill Palace,Park,9.9535845,76.3658229
Nehru Childrens Park,Park,9.967847,76.2428285
XL Hotel,Pub,9.9671028,76.2418186
Ajantha Theaters,Theater,9.9538714,76.2474584
CARNIVAL CINEMAS,Theater,10.1953856,76.3863648
CINEPLUS CINEMAS,Theater,10.0415947,76.3154443
EVM,Theater,9.946793,76.2555873
EVM Cinema,Theater,10.1116451,76.4744017
Kavitha Cinemas,Theater,9.9786868,76.2826142
Kokers Theatre,Theater,9.9594658,76.2448422
Little Shenoy's,Theater,9.976879,76.2847974
M Cinemas,Theater,10.0798212,76.2702523
Mahima,Theater,9.9431723,76.372542
Neelima,Theater,9.9450639,76.3754173
Padma Movie House,Theater,9.9817683,76.282593
PVR Cinemas,Theater,10.028289,76.3080928
Q-Cinemas,Theater,9.9775138,76.3160457
Saritha Savitha Sangeetha,Theater,9.9846037,76.2776535
Shenoys,Theater,9.9768764,76.2846128
Sridhar Cinemas,Theater,9.9793695,76.2765248
Amala Theater,Theater,10.1547021,76.3549171
Folklore Cultural Theatre ,Theater,9.9683847,76.2449112
Kathakali Centre,Theater,9.963898,76.2428693
Matha Madhurya Theatre,Theater,10.1071372,76.3603018
Zeenath Theater,Theater,10.1050433,76.3588894
