Name,Latitude,Longitude
Parur Vedemara Jn auto rickshaw stand,10.1481443,76.2452063
KSFE Paliyam Road Auto Stand,10.1496669,76.2349954
N Paravur Post Office Auto Stand,10.1489841,76.2315746
Njarackala Auto Stand,10.0472571,76.2172698
Pallipuram Road Kuzhuppilly Auto Taxi,10.1042901,76.2040621
Varappuzha Jn Auto Taxi,10.0791282,76.2745907
Panayikulam Jn Auto taxi,10.1015241,76.3011944
Edayar Jn Auto taxi,10.0876641,76.3026903
Aluva Railway Station auto taxi stand,10.1079306,76.3568123
Chetti Bhagam auto stand,10.0782948,76.2710544
Kadathuladavu auto stand,10.1128958,76.3525733
Kalamassery ITI auto stand,10.0550341,76.322447
Kochi Corporation Taxi Stand,9.9700139,76.285869
Koonammav Auto Stand,10.1005511,76.2638735
"Local Taxi, Palarivattom kakanadu road",10.0116205,76.3238542
Municipal Auto stand,10.1484488,76.2250832
Pathalam ESI auto taxi,10.076833,76.3184006
Puthenpalli Auto Stand,10.0817736,76.2697521
Shappum Padi Auto Stand,10.0851538,76.2688859
Nambooriyachan taxi stand N Paravur,10.1485369,76.2275907
Vazhikulangara Auto Stand,10.1335913,76.2404235
