Stop Name,Latitude,Longitude
hoc,9.971275692,76.38037696
chithirapuzha,9.960011977,76.36210173
market,9.946303799,76.34944707
Infopark Main Gate,10.01107103,76.36589974
Mechirapad,9.990872505,76.39322206
hill palace,9.952527716,76.36070061
Karimugal,9.98952565,76.39929928
karingachira,9.952457376,76.35746352
Pumb junction,9.965341074,76.37923066
bpcl,9.968476476,76.38050504
Society,9.925725288,76.24905621
Akaashavani,10.10566813,76.47517224
Elavoor Kavala,10.21673743,76.377605
Millumpadi,10.02520902,76.36517229
Edakochi,9.895146383,76.29684855
Bank Junction Or Najath Hospital,10.1114338,76.35140944
Mechirapad,9.990916421,76.3932338
Pallipady,10.10342757,76.29217676
Kb Hospital,10.15907217,76.35628714
Kalappurapadi,10.00987076,76.49410312
Marangad Ramapuram Road,9.793655758,76.67323882
St.Jude,9.936687037,76.80129858
Eroor Or Eroor North,9.985623532,76.32996498
Panayapilly,9.949508236,76.25746591
Chooramudi Junction,10.16632942,76.54296445
West Thykoodam,9.95869264,76.31855776
Elanji Kurishu Palli,9.832797517,76.54291155
Periyar Porters,10.1178081,76.40570515
Company Padi,10.56732256,76.03062469
Vayalar Pady,10.02038334,76.41482858
Panchayath Junction,9.793361549,76.41759509
Cheranaloor Or Thykkavu,10.05092949,76.29389104
St Thomas,9.709726741,76.67822115
Keezhmad Junction,10.11983733,76.3896447
Palli Nada,10.26335616,76.18118125
CPT Junction,9.935808646,76.27174696
Convent,10.16574085,76.24850331
Muvattupuzha Private Stand Stop,9.979417685,76.5859172
Ernakulam South Or Jose Junction,9.967060914,76.28631571
Nellikuzhi Canal,10.07282911,76.59706235
Pathinettaam Padi,9.939714522,76.47542803
Shanmugapuram,10.00506974,76.27859126
Pattimattom,10.02500802,76.449548
Kingini Mattam Paalam,9.957203351,76.47079143
Kurinji,9.955848728,76.43412301
Pathaam Kallu Edassery,10.45418134,76.08729509
Mammalassey Stop Or Nalambalam,9.91741051,76.47968477
