route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
BR0001,2,,Kalamassery-Kolenchery,,3,,,
BR0002,2,,North Paravur-Kakkanad,,3,,,
BR0003,2,,Perumbavoor-Kolenchery via Kadayirippu Chelakulam,,3,,,
BR0004,2,,Kottuvally-Paravur via Kalikulangara,,3,,,
BR0005,2,,Thrippunithura-Anjalpetty,,3,,,
BR0006,2,,Puthenvelikara-Ezhikkara,,3,,,
BR0007,2,,Aluva-Chottanikkara via Bypass,,3,,,
BR0008,2,,Kurumasserry-Perumbavoor,,3,,,
BR0009,2,,Thuthiyoor-Kumbalanghi Ferry via Padma,,3,,,
BR0010,2,,Pizhalakkadavu-Kodungallur via Thuruthippuram,,3,,,
BR0011,2,,North Paravur-Kodungallur via Pattanam Junction Vavakad,,3,,,
BR0012,2,,Perumbavoor-Piravom via Ramamangalam,,3,,,
BR0013,2,,Shanthinagar-Kundannoor Via Bypass Menaka,,3,,,
BR0014,2,,Thevara Ferry-Kakkanad via Padma,,3,,,
BR0015,2,,Edakochi-Kakkanad via Menaka,,3,,,
BR0016,2,,Velloor-Mulanthuruthy,,3,,,
BR0017,2,,Vallarpadam-North Paravur,,3,,,
BR0018,2,,Kattiparambu-Cheranalloor via Menaka Chittoor,,3,,,
BR0019,2,,Aluva-Kmp Nagar via Padma,,3,,,
BR0020,2,,Manjikad-Angamaly via Karukutty,,3,,,
BR0021,2,,Eramalloor-Pookkattupady via Bypass,,3,,,
BR0022,2,,North Paravur-Elamkunnapuzha,,3,,,
BR0023,2,,Chennur-Kottayil Kovilakam via Chendamangalam,,3,,,
BR0024,2,,Cherthala-Edakochi Via Arookutty,,3,,,
BR0025,2,,Kalamassery-Eramalloor,,3,,,
BR0026,2,,Manjikad-Kurishumudy via Karukutty,,3,,,
BR0027,2,,Thattekadu-Mulamkuzhy,,3,,,
BR0028,2,,Eroor-Thrippunithura,,3,,,
BR0029,2,,North Paravur-Pizhalakkadavu via Varappuzha,,3,,,
BR0030,2,,Edakochi-Thuthiyoor via Padma,,3,,,
BR0031,2,,Angamaly-Aluva via Karakkattukunnu,,3,,,
BR0032,2,,Thrippunithura-Koothattukulam via Choondy Anchalpetty,,3,,,
BR0033,2,,Cherthala-Edappally via Bypass,,3,,,
BR0034,2,,Kaloor-Piravom Railway station via Padma,,3,,,
BR0035,2,,Kaloor-Poothotta via Menaka,,3,,,
BR0036,2,,Perumbavoor-Palissery via Angamaly Edakunnu,,3,,,
BR0037,2,,Kaloor-Pallithode via Kuthiyathodu Padma,,3,,,
BR0038,2,,Thrippunithura-Kaloor via Padma,,3,,,
BR0039,2,,High Court-Kakkanad via Kaloor,,3,,,
BR0040,2,,Chittoor-Fort Kochi via Menaka,,3,,,
BR0041,2,,Kumbalanghi Ferry-Kaloor via Kathrikadavu,,3,,,
BR0042,2,,Perumbavoor-Vaikom via Kolencherry,,3,,,
BR0043,2,,Eramalloor-Edappally via Bypass,,3,,,
BR0044,2,,Kodungallur-North Paravur via Parayakkad Thuruthippuram,,3,,,
BR0045,2,,Kannamali-Aluva via Padma Thoppumpady,,3,,,
BR0046,2,,Aluva-Chottanikkara via Menaka,,3,,,
BR0047,2,,Kodungallur-Kunjithai via Vadakkumppuram,,3,,,
BR0048,2,,Kaloor-Poothotta via Bypass,,3,,,
