trip_id,arrival_time,departure_time,stop_id,stop_sequence
TRIP0001,7:00:00,7:00:00,BS0002,1
TRIP0001,7:05:00,7:05:00,BS1176,2
TRIP0001,7:10:00,7:10:00,BS2467,3
TRIP0001,7:15:00,7:15:00,BS2743,4
TRIP0001,7:20:00,7:20:00,BS0005,5
TRIP0001,7:25:00,7:25:00,BS0004,6
TRIP0001,7:30:00,7:30:00,BS0003,7
TRIP0001,7:35:00,7:35:00,BS0001,8
TRIP0001,7:40:00,7:40:00,BS1485,9
TRIP0001,7:45:00,7:45:00,BS2468,10
TRIP0001,7:50:00,7:50:00,BS0284,11
TRIP0001,7:55:00,7:55:00,BS0285,12
TRIP0001,8:00:00,8:00:00,BS1880,13
TRIP0001,8:05:00,8:05:00,BS2975,14
TRIP0001,8:10:00,8:10:00,BS1340,15
TRIP0001,8:15:00,8:15:00,BS3121,16
TRIP0001,8:20:00,8:20:00,BS1367,17
TRIP0001,8:25:00,8:25:00,BS1366,18
TRIP0001,8:30:00,8:30:00,BS2313,19
TRIP0001,8:35:00,8:35:00,BS1048,20
TRIP0001,8:40:00,8:40:00,BS0300,21
TRIP0001,8:45:00,8:45:00,BS0115,22
TRIP0001,8:50:00,8:50:00,BS1739,23
TRIP0001,8:55:00,8:55:00,BS1740,24
TRIP0001,9:00:00,9:00:00,BS1739,25
TRIP0001,9:05:00,9:05:00,BS2745,26
TRIP0001,9:10:00,9:10:00,BS2745,27
TRIP0001,9:15:00,9:15:00,BS0202,28
TRIP0001,9:20:00,9:20:00,BS0416,29
TRIP0001,9:25:00,9:25:00,BS2634,30
TRIP0001,9:30:00,9:30:00,BS1202,31
TRIP0001,9:35:00,9:35:00,BS0114,32
TRIP0001,9:40:00,9:40:00,BS2920,33
TRIP0001,9:45:00,9:45:00,BS3124,34
TRIP0001,9:50:00,9:50:00,BS3076,35
TRIP0001,9:55:00,9:55:00,BS1896,36
TRIP0001,10:00:00,10:00:00,BS1124,37
TRIP0001,10:05:00,10:05:00,BS1285,38
TRIP0001,10:10:00,10:10:00,BS0833,39
TRIP0001,10:15:00,10:15:00,BS0138,40
TRIP0001,10:20:00,10:20:00,BS0512,41
TRIP0001,10:25:00,10:25:00,BS2810,42
TRIP0001,10:30:00,10:30:00,BS2899,43
TRIP0001,10:35:00,10:35:00,BS0868,44
TRIP0001,10:40:00,10:40:00,BS0301,45
TRIP0001,10:45:00,10:45:00,BS0168,46
TRIP0001,10:50:00,10:50:00,BS0167,47
TRIP0001,10:55:00,10:55:00,BS0169,48
TRIP0002,7:00:00,7:00:00,BS1670,1
TRIP0002,7:05:00,7:05:00,BS2855,2
TRIP0002,7:10:00,7:10:00,BS0440,3
TRIP0002,7:15:00,7:15:00,BS0439,4
TRIP0002,7:20:00,7:20:00,BS2764,5
TRIP0002,7:25:00,7:25:00,BS1943,6
TRIP0002,7:30:00,7:30:00,BS2741,7
TRIP0002,7:35:00,7:35:00,BS2268,8
TRIP0002,7:40:00,7:40:00,BS1992,9
TRIP0002,7:45:00,7:45:00,BS0416,10
TRIP0002,7:50:00,7:50:00,BS2634,11
TRIP0002,7:55:00,7:55:00,BS1202,12
TRIP0002,8:00:00,8:00:00,BS0114,13
TRIP0002,8:05:00,8:05:00,BS2920,14
TRIP0002,8:10:00,8:10:00,BS3124,15
TRIP0002,8:15:00,8:15:00,BS3076,16
TRIP0002,8:20:00,8:20:00,BS1896,17
TRIP0002,8:25:00,8:25:00,BS1124,18
TRIP0002,8:30:00,8:30:00,BS1285,19
TRIP0002,8:35:00,8:35:00,BS0833,20
TRIP0002,8:40:00,8:40:00,BS0138,21
TRIP0002,8:45:00,8:45:00,BS0512,22
TRIP0002,8:50:00,8:50:00,BS2810,23
TRIP0002,8:55:00,8:55:00,BS2899,24
TRIP0002,9:00:00,9:00:00,BS0168,25
TRIP0002,9:05:00,9:05:00,BS0992,26
TRIP0002,9:10:00,9:10:00,BS0170,27
TRIP0002,9:15:00,9:15:00,BS1186,28
TRIP0002,9:20:00,9:20:00,BS0753,29
TRIP0002,9:25:00,9:25:00,BS0211,30
TRIP0002,9:30:00,9:30:00,BS1222,31
TRIP0002,9:35:00,9:35:00,BS0059,32
TRIP0002,9:40:00,9:40:00,BS1223,33
TRIP0002,9:45:00,9:45:00,BS2856,34
TRIP0002,9:50:00,9:50:00,BS0593,35
TRIP0002,9:55:00,9:55:00,BS2325,36
TRIP0002,10:00:00,10:00:00,BS2335,37
TRIP0002,10:05:00,10:05:00,BS2883,38
TRIP0002,10:10:00,10:10:00,BS2692,39
TRIP0002,10:15:00,10:15:00,BS0288,40
TRIP0002,10:20:00,10:20:00,BS0289,41
TRIP0002,10:25:00,10:25:00,BS0290,42
TRIP0002,10:30:00,10:30:00,BS0824,43
TRIP0002,10:35:00,10:35:00,BS3087,44
TRIP0002,10:40:00,10:40:00,BS1663,45
TRIP0002,10:45:00,10:45:00,BS2784,46
TRIP0002,10:50:00,10:50:00,BS0975,47
TRIP0002,10:55:00,10:55:00,BS1353,48
TRIP0002,11:00:00,11:00:00,BS1352,49
TRIP0002,11:05:00,11:05:00,BS2757,50
TRIP0002,11:10:00,11:10:00,BS1121,51
TRIP0002,11:15:00,11:15:00,BS1231,52
TRIP0002,11:20:00,11:20:00,BS0678,53
TRIP0002,11:25:00,11:25:00,BS0263,54
TRIP0002,11:30:00,11:30:00,BS0261,55
TRIP0003,7:00:00,7:00:00,BS0079,1
TRIP0003,7:05:00,7:05:00,BS1616,2
TRIP0003,7:10:00,7:10:00,BS0585,3
TRIP0003,7:15:00,7:15:00,BS1912,4
TRIP0003,7:20:00,7:20:00,BS2748,5
TRIP0003,7:25:00,7:25:00,BS0625,6
TRIP0003,7:30:00,7:30:00,BS3050,7
TRIP0003,7:35:00,7:35:00,BS0068,8
TRIP0003,7:40:00,7:40:00,BS0354,9
TRIP0003,7:45:00,7:45:00,BS1814,10
TRIP0003,7:50:00,7:50:00,BS2141,11
TRIP0003,7:55:00,7:55:00,BS0385,12
TRIP0003,8:00:00,8:00:00,BS1567,13
TRIP0003,8:05:00,8:05:00,BS0850,14
