stop_id,stop_name,stop_lat,stop_lon
BS0001,12Th Block,10.25540684,76.49144687
BS0002,15Th Block,10.25755415,76.52972413
BS0003,6Th Block,10.25068415,76.49999676
BS0004,7Th Block,10.25240607,76.50847382
BS0005,8Th Block,10.25407948,76.51409447
BS0006,A  P Varkey Hospital Stop,9.884886155,76.44790315
BS0007,A K G,9.840161342,76.49232221
BS0008,Aala Bus Stop,10.25116547,76.18643739
BS0009,Aalamthuruthu,10.16414226,76.20681172
BS0010,Aalathoor,9.70245089,76.41901749
BS0011,Aalinchuvad,9.792108469,76.43751883
BS0012,Aalinchuvadu,10.20191638,76.52653482
BS0013,Aalumpadi,9.982284343,76.55809953
BS0014,Aana Koodu,10.18254208,76.51313337
BS0015,Aanamukku,9.996227176,76.34114979
BS0016,Aanappara,10.23231197,76.43674774
BS0017,Aanapuzha,10.20635382,76.2130256
BS0018,Aanavathil Junction,10.0708679,76.31701208
BS0019,Aanichuvadu,9.82582575,76.62991428
BS0020,Aanikkad,10.12069758,76.39523274
BS0021,Aanikkadu,9.96828939,76.61044523
BS0022,Aanikkadu Pallithazham,9.964181079,76.61576474
BS0023,Aanjilichuvadu,10.04608784,76.44916821
BS0024,Aaraam Mile,9.766574152,76.36240271
BS0025,Aaram Mile,9.698414804,76.76123371
BS0026,Aarattu Vazhi,9.727824981,76.2866061
BS0027,Aaru Muri,9.958021319,76.26904184
BS0028,Aashan Padi,9.920364763,76.53859326
BS0029,Aashan Road,10.49530832,76.06556801
BS0030,Aashankavala,9.937969869,76.80141994
BS0031,Aasherry Paalam,10.26989854,76.41198597
BS0032,Aashupathri Junction,10.03413185,76.50189595
BS0033,Aashupathri Or Light House,9.997961616,76.22206653
BS0034,Aashupathri Padi Or Chengamanadu Government Hospital,10.15450354,76.33565123
BS0035,Aashupathry Padi,10.25231408,76.3955374
BS0036,Aashupathry Padi Or Government Thaluk Hospital,10.11539139,76.48125371
BS0037,Aashupathry Padi Or Government Thaluk Hospital,10.11557523,76.48087485
BS0038,Aashupatri Stop Or Vyapara Bhavan,10.06989987,76.27594657
BS0039,Aathani,9.944143537,76.42029136
BS0040,Aathani Junction,9.871324357,76.58506892
BS0041,Aattuvela Kuzhi,9.947929662,76.50199704
BS0042,Aavoli,9.957491517,76.62359527
BS0043,Aayurathettu Or Puthiyaay,9.855007038,76.32591186
BS0044,Aayurvedha Bus Stop,9.951022756,76.36328104
