route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
BR0001,0,TRIP0001,,,0,,,,
BR0002,0,TRIP0002,,,0,,,,
BR0003,0,TRIP0003,,,0,,,,
BR0004,0,TRIP0004,,,0,,,,
BR0005,0,TRIP0005,,,0,,,,
BR0006,0,TRIP0006,,,0,,,,
BR0007,0,TRIP0007,,,0,,,,
BR0008,0,TRIP0008,,,0,,,,
BR0009,0,TRIP0009,,,0,,,,
BR0010,0,TRIP0010,,,0,,,,
BR0011,0,TRIP0011,,,0,,,,
BR0012,0,TRIP0012,,,0,,,,
BR0013,0,TRIP0013,,,0,,,,
BR0014,0,TRIP0014,,,0,,,,
BR0015,0,TRIP0015,,,0,,,,
BR0016,0,TRIP0016,,,0,,,,
BR0017,0,TRIP0017,,,0,,,,
BR0018,0,TRIP0018,,,0,,,,
BR0019,0,TRIP0019,,,0,,,,
BR0020,0,TRIP0020,,,0,,,,
BR0021,0,TRIP0021,,,0,,,,
BR0022,0,TRIP0022,,,0,,,,
BR0023,0,TRIP0023,,,0,,,,
BR0024,0,TRIP0024,,,0,,,,
BR0025,0,TRIP0025,,,0,,,,
BR0026,0,TRIP0026,,,0,,,,
BR0027,0,TRIP0027,,,0,,,,
BR0028,0,TRIP0028,,,0,,,,
BR0029,0,TRIP0029,,,0,,,,
BR0030,0,TRIP0030,,,0,,,,
BR0031,0,TRIP0031,,,0,,,,
BR0032,0,TRIP0032,,,0,,,,
BR0033,0,TRIP0033,,,0,,,,
BR0034,0,TRIP0034,,,0,,,,
BR0035,0,TRIP0035,,,0,,,,
BR0036,0,TRIP0036,,,0,,,,
BR0037,0,TRIP0037,,,0,,,,
BR0038,0,TRIP0038,,,0,,,,
BR0039,0,TRIP0039,,,0,,,,
BR0040,0,TRIP0040,,,0,,,,
BR0041,0,TRIP0041,,,0,,,,
BR0042,0,TRIP0042,,,0,,,,
BR0043,0,TRIP0043,,,0,,,,
BR0044,0,TRIP0044,,,0,,,,
BR0045,0,TRIP0045,,,0,,,,
BR0046,0,TRIP0046,,,0,,,,
BR0047,0,TRIP0047,,,0,,,,
BR0048,0,TRIP0048,,,0,,,,
BR0049,0,TRIP0049,,,0,,,,
BR0050,0,TRIP0050,,,0,,,,
BR0051,0,TRIP0051,,,0,,,,
BR0052,0,TRIP0052,,,0,,,,
BR0053,0,TRIP0053,,,0,,,,
BR0054,0,TRIP0054,,,0,,,,
BR0055,0,TRIP0055,,,0,,,,
BR0056,0,TRIP0056,,,0,,,,
BR0057,0,TRIP0057,,,0,,,,
BR0058,0,TRIP0058,,,0,,,,
BR0059,0,TRIP0059,,,0,,,,
BR0060,0,TRIP0060,,,0,,,,
BR0061,0,TRIP0061,,,0,,,,
BR0062,0,TRIP0062,,,0,,,,
BR0063,0,TRIP0063,,,0,,,,
BR0064,0,TRIP0064,,,0,,,,
BR0065,0,TRIP0065,,,0,,,,
BR0066,0,TRIP0066,,,0,,,,
BR0067,0,TRIP0067,,,0,,,,
BR0068,0,TRIP0068,,,0,,,,
BR0069,0,TRIP0069,,,0,,,,
BR0070,0,TRIP0070,,,0,,,,
BR0071,0,TRIP0071,,,0,,,,
BR0072,0,TRIP0072,,,0,,,,
BR0073,0,TRIP0073,,,0,,,,
BR0074,0,TRIP0074,,,0,,,,
BR0075,0,TRIP0075,,,0,,,,
BR0076,0,TRIP0076,,,0,,,,
BR0077,0,TRIP0077,,,0,,,,
BR0078,0,TRIP0078,,,0,,,,
BR0079,0,TRIP0079,,,0,,,,
BR0080,0,TRIP0080,,,0,,,,
BR0081,0,TRIP0081,,,0,,,,
BR0082,0,TRIP0082,,,0,,,,
BR0083,0,TRIP0083,,,0,,,,
BR0084,0,TRIP0084,,,0,,,,
BR0085,0,TRIP0085,,,0,,,,
BR0086,0,TRIP0086,,,0,,,,
BR0087,0,TRIP0087,,,0,,,,
BR0088,0,TRIP0088,,,0,,,,
BR0089,0,TRIP0089,,,0,,,,
BR0090,0,TRIP0090,,,0,,,,
BR0091,0,TRIP0091,,,0,,,,
BR0092,0,TRIP0092,,,0,,,,
BR0093,0,TRIP0093,,,0,,,,
BR0094,0,TRIP0094,,,0,,,,
BR0095,0,TRIP0095,,,0,,,,
BR0096,0,TRIP0096,,,0,,,,
BR0097,0,TRIP0097,,,0,,,,
BR0098,0,TRIP0098,,,0,,,,
BR0099,0,TRIP0099,,,0,,,,
BR0100,0,TRIP0100,,,0,,,,
BR0101,0,TRIP0101,,,0,,,,
BR0102,0,TRIP0102,,,0,,,,
BR0103,0,TRIP0103,,,0,,,,
BR0104,0,TRIP0104,,,0,,,,
BR0105,0,TRIP0105,,,0,,,,
BR0106,0,TRIP0106,,,0,,,,
BR0107,0,TRIP0107,,,0,,,,
BR0108,0,TRIP0108,,,0,,,,
BR0109,0,TRIP0109,,,0,,,,
BR0110,0,TRIP0110,,,0,,,,
BR0111,0,TRIP0111,,,0,,,,
BR0112,0,TRIP0112,,,0,,,,
BR0113,0,TRIP0113,,,0,,,,
BR0114,0,TRIP0114,,,0,,,,
BR0115,0,TRIP0115,,,0,,,,
BR0116,0,TRIP0116,,,0,,,,
BR0117,0,TRIP0117,,,0,,,,
BR0118,0,TRIP0118,,,0,,,,
