stop_id,stop_name,stop_lat,stop_lon
FS002,Chittoor,10.038325,76.26991
FS003,Embarkation,9.970072,76.26221
FS004,Ernakulam,9.972357,76.27833
FS005,Eroor,9.980063,76.33351
FS006,Fort Kochi,9.969376,76.25187
FS007,Fort Kochi - Kamalakkadavu,9.969102,76.2446
FS009,Highcourt,9.983234,76.27309
FS010,Kadamakkudy,10.053299,76.25052
FS011,Kakkanad,9.992175,76.35257
FS014,Kurankotta,10.026246,76.2584
FS015,Mattancherry,9.958263,76.26056
FS018,Mulavukad Panchayat,10.024596,76.25735
FS020,Thanthonnithuruth,9.997069,76.26769
FS021,Varappuzha,10.068833,76.2802
FS022,Vypeen,9.973518,76.24453
FS024,Vyttila,9.968565,76.32178
FS025,Vaikom,9.749497,76.389291
FS026,Terminals,9.964408,76.262795
FS027,Mulavukad North,10.029939,76.259275
