route_id,trip_id,direction_id,wheelchair_accessible
FOU01,TRIP0001,0,Yes
FOD01,TRIP0002,0,Yes
FOU01,TRIP0003,0,Yes
FOD01,TRIP0004,0,Yes
FOU01,TRIP0005,0,Yes
FOD01,TRIP0006,0,Yes
FOU01,TRIP0007,0,Yes
FOD01,TRIP0008,0,Yes
FOU01,TRIP0009,0,Yes
FOD01,TRIP0010,0,Yes
FOU01,TRIP0011,0,Yes
FOD01,TRIP0012,0,Yes
FOU01,TRIP0013,0,Yes
FOD01,TRIP0014,0,Yes
FOU01,TRIP0015,0,Yes
FOD01,TRIP0016,0,Yes
FOU02,TRIP0017,0,Yes
FOU03,TRIP0018,0,Yes
FOU04,TRIP0019,0,Yes
FOD04,TRIP0020,0,Yes
FOU04,TRIP0021,0,Yes
FOD04,TRIP0022,0,Yes
FOD03,TRIP0023,0,Yes
FOD02,TRIP0024,0,Yes
FOU05,TRIP0025,0,Yes
FOU06,TRIP0026,0,Yes
FOD05,TRIP0027,0,Yes
FOU08,TRIP0028,0,Yes
FOU09,TRIP0029,0,Yes
FOD09,TRIP0030,0,Yes
FOU09,TRIP0031,0,Yes
FOD09,TRIP0032,0,Yes
FOU09,TRIP0033,0,Yes
FOD09,TRIP0034,0,Yes
FOD07,TRIP0035,0,Yes
FOU07,TRIP0036,0,Yes
FOD07,TRIP0037,0,Yes
FOU07,TRIP0038,0,Yes
FOD08,TRIP0039,0,Yes
FOU08,TRIP0040,0,Yes
FOU09,TRIP0041,0,Yes
FOD09,TRIP0042,0,Yes
FOU09,TRIP0043,0,Yes
FOD09,TRIP0044,0,Yes
FOU09,TRIP0045,0,Yes
FOD09,TRIP0046,0,Yes
FOU09,TRIP0047,0,Yes
FOD09,TRIP0048,0,Yes
FOU10,TRIP0049,0,Yes
FOU11,TRIP0050,0,Yes
FOD11,TRIP0051,0,Yes
FOU11,TRIP0052,0,Yes
FOD11,TRIP0053,0,Yes
FOU11,TRIP0054,0,Yes
FOD11,TRIP0055,0,Yes
FOU11,TRIP0056,0,Yes
FOU12,TRIP0057,0,Yes
FOD12,TRIP0058,0,Yes
FOU13,TRIP0059,0,Yes
FOU18,TRIP0060,0,Yes
FOU11,TRIP0061,0,Yes
FOD11,TRIP0062,0,Yes
FOU11,TRIP0063,0,Yes
FOU14,TRIP0064,0,Yes
FOD14,TRIP0065,0,Yes
FOD11,TRIP0066,0,Yes
FOU11,TRIP0067,0,Yes
FOD11,TRIP0068,0,Yes
FOD10,TRIP0069,0,Yes
FOU09,TRIP0070,0,Yes
FOD09,TRIP0071,0,Yes
FOD16,TRIP0072,0,Yes
FOU15,TRIP0073,0,Yes
FOD08,TRIP0074,0,Yes
FOU07,TRIP0075,0,Yes
FOD08,TRIP0076,0,Yes
FOU08,TRIP0077,0,Yes
FOD08,TRIP0078,0,Yes
FOU08,TRIP0079,0,Yes
FOD08,TRIP0080,0,Yes
FOU08,TRIP0081,0,Yes
FOD08,TRIP0082,0,Yes
FOU08,TRIP0083,0,Yes
FOD07,TRIP0084,0,Yes
FOU08,TRIP0085,0,Yes
FOD08,TRIP0086,0,Yes
FOU08,TRIP0087,0,Yes
FOD08,TRIP0088,0,Yes
FOU08,TRIP0089,0,Yes
FOD07,TRIP0090,0,Yes
FOU08,TRIP0091,0,Yes
FOD07,TRIP0092,0,Yes
FOU07,TRIP0093,0,Yes
FOD07,TRIP0094,0,Yes
FOU07,TRIP0095,0,Yes
FOD08,TRIP0096,0,Yes
FOU08,TRIP0097,0,Yes
FOD08,TRIP0098,0,Yes
FOU08,TRIP0099,0,Yes
FOD17,TRIP0100,0,Yes
FOU17,TRIP0101,0,Yes
FOD17,TRIP0102,0,Yes
FOU17,TRIP0103,0,Yes
FOD17,TRIP0104,0,Yes
FOU17,TRIP0105,0,Yes
FOD15,TRIP0106,0,Yes
FOU17,TRIP0107,0,Yes
FOD17,TRIP0108,0,Yes
FOU17,TRIP0109,0,Yes
FOD17,TRIP0110,0,Yes
FOU17,TRIP0111,0,Yes
FOD07,TRIP0112,0,Yes
FOU07,TRIP0113,0,Yes
FOD15,TRIP0114,0,Yes
FOU17,TRIP0115,0,Yes
FOD15,TRIP0116,0,Yes
FOU19,TRIP0117,0,Yes
FOD19,TRIP0118,0,Yes
FOU17,TRIP0119,0,Yes
FOD17,TRIP0120,0,Yes
FOU17,TRIP0121,0,Yes
FOD17,TRIP0122,0,Yes
FOU17,TRIP0123,0,Yes
FOD07,TRIP0124,0,Yes
FOU07,TRIP0125,0,Yes
FOD07,TRIP0126,0,Yes
FOU07,TRIP0127,0,Yes
FOU09,TRIP0128,0,Yes
FOD09,TRIP0129,0,Yes
FOU09,TRIP0130,0,Yes
FOD20,TRIP0131,0,Yes
FOU09,TRIP0132,0,Yes
FOD09,TRIP0133,0,Yes
FOU09,TRIP0134,0,Yes
FOD09,TRIP0135,0,Yes
FOD07,TRIP0136,0,Yes
FOU08,TRIP0137,0,Yes
FOD08,TRIP0138,0,Yes
FOU08,TRIP0139,0,Yes
FOD07,TRIP0140,0,Yes
FOU07,TRIP0141,0,Yes
FOU09,TRIP0142,0,Yes
FOU07,TRIP0143,0,Yes
FOU09,TRIP0144,0,Yes
FOU07,TRIP0145,0,Yes
FOU20,TRIP0146,0,Yes
FOU07,TRIP0147,0,Yes
FOU09,TRIP0148,0,Yes
FOU07,TRIP0149,0,Yes
FOU09,TRIP0150,0,Yes
FOD09,TRIP0151,0,Yes
FOU09,TRIP0152,0,Yes
FOD09,TRIP0153,0,Yes
FOU09,TRIP0154,0,Yes
FOD09,TRIP0155,0,Yes
FOU09,TRIP0156,0,Yes
FOD09,TRIP0157,0,Yes
FOD17,TRIP0158,0,Yes
FOU15,TRIP0159,0,Yes
FOU09,TRIP0160,0,Yes
FOD09,TRIP0161,0,Yes
FOU20,TRIP0162,0,Yes
FOD09,TRIP0163,0,Yes
FOU09,TRIP0164,0,Yes
FOD09,TRIP0165,0,Yes
FOU09,TRIP0166,0,Yes
FOD09,TRIP0167,0,Yes
FOD17,TRIP0168,0,Yes
FOU15,TRIP0169,0,Yes
FOD17,TRIP0170,0,Yes
FOU17,TRIP0171,0,Yes
FOD17,TRIP0172,0,Yes
FOU15,TRIP0173,0,Yes
FOD15,TRIP0174,0,Yes
FOU17,TRIP0175,0,Yes
FOD17,TRIP0176,0,Yes
FOU17,TRIP0177,0,Yes
FOD15,TRIP0178,0,Yes
FOU15,TRIP0179,0,Yes
FOD17,TRIP0180,0,Yes
FOU15,TRIP0181,0,Yes
FOD15,TRIP0182,0,Yes
FOU15,TRIP0183,0,Yes
FOD15,TRIP0184,0,Yes
FOU15,TRIP0185,0,Yes
FOD15,TRIP0186,0,Yes
FOU15,TRIP0187,0,Yes
FOD15,TRIP0188,0,Yes
FOU15,TRIP0189,0,Yes
FOD17,TRIP0190,0,Yes
FOU17,TRIP0191,0,Yes
FOD15,TRIP0192,0,Yes
FOU15,TRIP0193,0,Yes
FVD02,TRIP0194,0,Yes
FVU02,TRIP0195,0,Yes
FVU01,TRIP0196,0,Yes
FVD01,TRIP0197,0,Yes
FVU01,TRIP0198,0,Yes
FVD01,TRIP0199,0,Yes
FVU01,TRIP0200,0,Yes
FVD01,TRIP0201,0,Yes
FVU01,TRIP0202,0,Yes
FVD01,TRIP0203,0,Yes
FVU01,TRIP0204,0,Yes
FVD01,TRIP0205,0,Yes
FVU01,TRIP0206,0,Yes
FVD01,TRIP0207,0,Yes
