,Aluva,Pulinchodu,Companypady,Ambattkavu,Muttom,"North 
Kalamassery",CUSAT,Pathadippalam,Edappally Junction,Changampuzha Park,Palarivattom,Nehru Stadium,Kaloor,Lissie,M G Road,Maharaja's College
Aluva,10,10,20,20,20,30,30,30,40,40,40,40,50,50,50,50
Pulinchodu,10,10,10,20,20,20,30,30,30,40,40,40,40,50,50,50
Companypady,20,10,10,10,20,20,20,30,30,30,40,40,40,40,50,50
Ambattkavu,20,20,10,10,10,20,20,20,30,30,30,40,40,40,40,50
Muttom,20,20,20,10,10,10,20,20,20,30,30,30,40,40,40,40
North Kalamassery,30,20,20,20,10,10,10,20,20,20,30,30,30,40,40,40
CUSAT,30,30,20,20,20,10,10,10,20,20,20,30,30,30,40,40
Pathadippalam,30,30,30,20,20,20,10,10,10,20,20,20,30,30,30,40
Edappally Junction,40,30,30,30,20,20,20,10,10,10,20,20,20,30,30,30
Changampuzha Park,40,40,30,30,30,20,20,20,10,10,10,20,20,20,30,30
Palarivattom,40,40,40,30,30,30,20,20,20,10,10,10,20,20,20,30
Nehru Stadium,40,40,40,40,30,30,30,20,20,20,10,10,10,20,20,20
Kaloor,50,40,40,40,40,30,30,30,20,20,20,10,10,10,20,20
Lissie,50,50,40,40,40,40,30,30,30,20,20,20,10,10,10,20
M G Road,50,50,50,40,40,40,40,30,30,30,20,20,20,10,10,10
Maharaja's College,50,50,50,50,40,40,40,40,30,30,30,20,20,20,10,10
