Name,Category,latitude,longitude
A J Hall,community_centre,9.9936454,76.2925956
Bhaskareeyam Convention Centre,community_centre,10.0060764,76.2859834
Computer shop,community_centre,9.9649593,76.2434868
Gayathri Kalyana Mandapam,community_centre,10.0190746,76.3008475
KMJ Convention Center,community_centre,10.049485,76.3729189
Kodikuthmala Community Hall,community_centre,10.0810211,76.3641857
Manappatt Centre,community_centre,10.0548449,76.3220795
Mouna Nilayam,community_centre,10.0585842,76.2963514
Nettoor Mahal Auditorium,community_centre,9.9208939,76.3141591
Shangri La Convention Centre,community_centre,10.0078117,76.2949136
SNDP Union,community_centre,10.0121489,76.2923628
St. Francis Xavier Church Hall,community_centre,9.9848156,76.2929272
"YMCA CAMPSITE International Guest House , Thottumugam , Aluva",community_centre,10.1127632,76.3747947
bright heritage tower road,convenience,9.9668055,76.2444538
Cigarette Shop,convenience,10.0814791,76.3636982
Corner Store,convenience,10.0815036,76.3619709
Kayees Store,convenience,10.0814913,76.3644886
Kerala Civil Supplies Store,convenience,10.1509254,76.2185153
Laboratory Equipment Stores,convenience,9.9850618,76.2818837
Majeed's Store,convenience,10.0898444,76.3623759
Preethi Stores,convenience,9.9658669,76.2421051
Ayesha,department_store,10.0267382,76.3081814
Castle Home Appliances,department_store,9.9902899,76.2820256
Cooperative Department Store,department_store,10.1076343,76.3570168
Crafters Antique Shop,department_store,9.9558049,76.259245
Fabindia,department_store,9.9651163,76.241862
Krishna Deparment Store,department_store,10.0044015,76.305433
Lulu Celebrate,department_store,10.0269623,76.3078033
Marks & Spencer,department_store,10.0267154,76.3084491
Reliance Digital,department_store,10.0271368,76.3092912
Reliance Digital,department_store,9.9539672,76.3432695
Saravana Mart,department_store,9.9959598,76.280233
Westside,department_store,10.0266491,76.3079736
Bharat Petroleum,fuel,9.987415,76.2853413
Bharat Petroleum,fuel,9.9710641,76.2985029
Bharat Petroleum - Petrol Pump,fuel,10.0368665,76.3452807
Bharat Petroleum,fuel,10.0351191,76.3141278
Cochin Bottling plant,fuel,9.8944093,76.3754168
Hindustan Petroleum,fuel,9.9650486,76.2899501
Hindustan Petroleum,fuel,10.1717799,76.3301616
Hindustan Petroleum,fuel,9.9522472,76.3376728
Hindustan Petroleum,fuel,9.9659858,76.2966678
HP Petrol Pump,fuel,10.0486414,76.3692639
Indian Oil,fuel,9.9431297,76.3186199
Indian Oil,fuel,10.0115214,76.3226119
Indian Oil,fuel,9.9351281,76.2580991
Indian Oil,fuel,9.9460009,76.254074
Indian Oil,fuel,10.0324074,76.3124124
ioc,fuel,9.9527791,76.3384413
IOC Petrol pump,fuel,9.8927207,76.3717204
Jawan Service Center,fuel,10.0106923,76.2873601
Kwality Fuels,fuel,9.9654362,76.318676
Thathanattu Petro Pump,fuel,9.9508019,76.3308194
Central Police Station,police,9.9872015,76.2761491
Cerebtec Technologies pvt.ltd,police,9.9960152,76.2891741
Customs,police,9.9691797,76.2512745
Ernakulam Rural DSP office,police,10.1001859,76.3573256
ET North Cusba Police Station,police,9.9888236,76.2826979
Fort Cochi police station,police,9.9671653,76.2441193
highway police k-24 n paravur,police,10.1483663,76.2310992
HILL PALACE POLICE CAMP,police,9.9536223,76.360905
"Janamythri Police Station, Kadavantra",police,9.97031,76.2971543
Kalamassery Police Station,police,10.0461728,76.3168964
Kerala Railway Police Station,police,9.9682328,76.2912524
Nedumbassery Police Station,police,10.1600011,76.3927005
office of circle inspector of police,police,10.1481672,76.2310425
Palarivattom Police Station,police,10.0025167,76.3059975
Pallipuram Police Station,police,10.169685,76.1814648
Police Aid Post,police,10.119689,76.3427042
Police Aid Post,police,10.0246127,76.3077234
Police Signal Control,police,10.0616167,76.2883836
Police Station,police,10.1512194,76.3383666
Thiruvankulam Post Office,post_box,9.9429398,76.3739367
Athani Post Office,post_office,10.1556312,76.3546041
Chengamanad Post Office,post_office,10.1534366,76.341561
Cherlai Post office,post_office,9.9570613,76.2555579
College Ground Post Office,post_office,9.9766463,76.2823343
Ernakulam Head Post Office,post_office,9.9718632,76.2823897
Ernakulam North Post Office,post_office,9.9878515,76.2811879
Fort Cochin Post Office,post_office,9.9655551,76.2414371
High Court Post Office,post_office,9.9860445,76.2755832
Kadavanthra Post Office (Sub Office),post_office,9.966479,76.2992057
Kakkanad,post_office,10.0080643,76.3441065
Kumbalam PO,post_office,9.907032,76.3059866
Marampally Post Office,post_office,10.1128567,76.4190383
Matsyapuri Post Office,post_office,9.9395255,76.2681635
Mattancherry Post Office,post_office,9.9602179,76.2581258
Naval Base Post Office,post_office,9.9563151,76.275781
North Paravur Market Post Office,post_office,10.1509787,76.2196734
padamugal,post_office,10.0153551,76.3356891
Paravur Town,post_office,10.1449946,76.2270394
Post Office Kakkanad,post_office,10.0210405,76.3443999
Professional Couriers,post_office,9.9893019,76.2837431
Rajagiri Post Office,post_office,10.0533337,76.3145611
Thottakkattukara P.O.,post_office,10.114044,76.3471473
uc college,post_office,10.1229355,76.335551
Uliyannoor Post Office,post_office,10.1018037,76.3443368
Government Press,public_building,10.01923,76.34642
Village Office,public_building,10.01822,76.34629
DD Retreat,sports_centre,9.9817995,76.3049242
International Gym,sports_centre,9.9773362,76.3148116
Govt. Polytechnic College Stadium,stadium,10.0572716,76.3266206
Ali's Supermarket,supermarket,10.054931,76.323092
Ashis Super Mercato,supermarket,9.9827558,76.2747819
BBS Supermarket,supermarket,10.1127685,76.353775
Big Bazaar,supermarket,9.977983,76.2830424
Bismi Hypermarket,supermarket,9.9705681,76.3182824
Cochin Spices,supermarket,9.9669545,76.2443573
Cooperative Departmental Store,supermarket,9.9871781,76.2830236
Farm Gold,supermarket,9.9746723,76.315318
Fish for sale,supermarket,9.9680427,76.2423141
Grand Fresh,supermarket,10.1136229,76.4785175
Kerala State Beverages Corporation Shop,supermarket,9.9564946,76.2424851
LuLu Hypermarket,supermarket,10.0281902,76.308007
Maharashtra Super Market,supermarket,9.9681838,76.2850753
Margin Free Market,supermarket,9.9598644,76.2453604
Margin Free Super market,supermarket,9.9578445,76.2538203
Margin Free Supermarket,supermarket,10.0217716,76.3004621
Moolan's Mega Mart,supermarket,10.1132664,76.4787911
MORE Supermarket,supermarket,9.9455975,76.3503215
More Supermarket,supermarket,9.9470265,76.3664332
Priyom Super Market,supermarket,10.0120232,76.3236231
Ration Shop,supermarket,9.9438791,76.3348703
Reliance Fresh,supermarket,9.9735313,76.3103844
"Reliance Store, Kakkanad",supermarket,10.01359,76.33076
Rich India Super Market,supermarket,9.9966421,76.2861695
Shipyard Supermarket,supermarket,9.9492543,76.2913604
Shiva Organic Centre,supermarket,9.9676411,76.288089
Smart Shoppe Supe Market,supermarket,9.98806,76.2792825
SUPPLYCO,supermarket,9.9713883,76.3173384
Ultimate (Palapprassery),supermarket,10.15619,76.329018
Varkey's,supermarket,10.0033337,76.3082296
Varkeys Super market,supermarket,9.9536653,76.3428429
"Varkey's Supermarket, Kakkanad",supermarket,10.0143,76.33419
Vee Key Mart,supermarket,10.0211346,76.344079
C I S F,town_hall,9.9677948,76.2642867
Carmel Hall,town_hall,9.9922366,76.2823288
Container Corporation Of India,town_hall,9.944144,76.2694529
Customs House-Kochi,town_hall,9.9688149,76.2591686
INS Venduruthy,town_hall,9.9532837,76.2791981
Kochi Air Cargo Clearing House,town_hall,9.938115,76.2800495
Lakshadeep Passengers Reporting Centre,town_hall,9.968038,76.2635943
MT Pool,town_hall,9.9566023,76.2746962
Municipal Town Hall Kalamassery,town_hall,10.0450204,76.3181336
Priyadarshini Hall,town_hall,10.1136029,76.345849
Rena Event Hub,town_hall,9.9916119,76.2892001
St. George Church Parish Hall,town_hall,10.0834157,76.2725686
