Name,Category,Sub category,Latitude ,Longitude
Dance and Arts Center,Cultural,Arts Centre,9.9446775,76.3407989
Greenix Ventures,Cultural,Arts Centre,9.9685121,76.2499204
St Mary's Convent Auditorium,Cultural,Arts Centre,9.9648509,76.2447224
Art Gallery,Cultural,Artwork,9.960486,76.2589441
Chavara Statue,Cultural,Artwork,9.9936757,76.3572787
Galley 'c' seven,Cultural,Artwork,9.9572573,76.2595971
Jesus Statue,Cultural,Artwork,10.1675654,76.1834561
OED gallery,Cultural,Artwork,9.9622072,76.2579781
The Bombay Art Society,Cultural,Artwork,9.9556714,76.260037
Anwin's Home,Cultural,Attraction,10.030699,76.3480767
Bastion Bungalow,Cultural,Attraction,9.9642848,76.239176
Bolghatty Palace & Island Resort,Cultural,Attraction,9.9842589,76.2668063
Dutch Palace,Cultural,Attraction,9.9584241,76.2593905
Fort Kochi Jail,Cultural,Attraction,9.9675835,76.2437834
Idili Pura.,Cultural,Attraction,10.0121908,76.3578488
Kashi Art Gallery,Cultural,Attraction,9.9638232,76.239102
Kochi port,Cultural,Attraction,9.9667202,76.2662959
Kochinbackwaters Boat Club,Cultural,Attraction,9.9365873,76.3120724
Mattancherry Palace,Cultural,Attraction,9.9583382,76.2594375
Multimedia Laser Show,Cultural,Attraction,9.9681302,76.2806899
Spot on the rocks,Cultural,Attraction,9.9173243,76.2850335
DC Books,Cultural,Bookshop,9.9853762,76.2776029
Deshabhimani Book House,Cultural,Bookshop,9.9986908,76.2965604
H & C Stores,Cultural,Bookshop,9.9686597,76.2870825
Idiom Booksellers,Cultural,Bookshop,9.9658667,76.2414933
Kerala Book House,Cultural,Bookshop,9.9664449,76.2884207
lotus books,Cultural,Bookshop,10.1486283,76.2278422
Pai & Co.,Cultural,Bookshop,9.9772909,76.2780857
Sree Lakshmi bazaar,Cultural,Bookshop,9.9579327,76.2557064
AKG Library,Cultural,Library,10.0312977,76.3109697
Eloor Lending Library,Cultural,Library,9.9771073,76.2799199
George master memmorial Reading room & Public Library,Cultural,Library,9.9526798,76.3202025
Library,Cultural,Library,10.1095882,76.3557022
Library and reading room,Cultural,Library,10.1191861,76.2559047
paravur district court law Library,Cultural,Library,10.1484663,76.2311265
Sree Saraswath Association Public Library,Cultural,Library,9.9561295,76.252256
University Library,Cultural,Library,10.0445924,76.3251485
Y. N. P. Trust Public Library,Cultural,Library,9.9543408,76.2514948
Dredger Anchor,Cultural,Memorial,9.9678144,76.2412213
K Karunakaran Statue,Cultural,Memorial,10.1485772,76.2246841
parakkadavu block office,Cultural,Memorial,10.1707791,76.3301791
Steam Boilers,Cultural,Memorial,9.9673835,76.2405301
Dutch cemetery,Cultural,Monument,9.964233,76.2383008
hindu tample,Cultural,Monument,9.95622,76.2511122
Kovil Homestay,Cultural,Monument,9.9574961,76.2446409
CMC History and art Museum,Cultural,Museum,10.1012481,76.2623646
Indo-Portuguese Museum,Cultural,Museum,9.9623143,76.2402724
Kerala Folklore Museum,Cultural,Museum,9.9331062,76.2991072
Museum Of Kerala History,Cultural,Museum,10.0379909,76.3148652
Police Museum,Cultural,Museum,9.95596,76.26
Sahodaran Ayappan Museum,Cultural,Museum,10.1548055,76.1941726
SNC Maritime Museum,Cultural,Museum,9.9583426,76.2390343
Thripunitra Hill Palace,Cultural,Museum,9.9527348,76.3639419
Fort Immanuel,Cultural,Ruins,9.9663159,76.2390124
Divine,Entertainment,Pub,9.9643102,76.2392822
Hotel Cochin Fort,Entertainment,Pub,9.9681588,76.245438
HOTEL ZENANA (BAR),Entertainment,Pub,9.9603938,76.3685286
Joyes Bar,Entertainment,Pub,9.94704,76.3760073
Kottavathil Tourist home,Entertainment,Pub,9.9455973,76.346865
Lotus Club,Entertainment,Pub,9.9674745,76.2845428
Mermaid Inn,Entertainment,Pub,9.9716173,76.3242623
Periyar Club,Entertainment,Pub,10.1266741,76.3491109
Rama Varma Club,Entertainment,Pub,9.9685337,76.2848991
Sareena Cool Bar,Entertainment,Pub,9.9670417,76.2883638
Seagate Bar & Restaurant,Entertainment,Pub,10.0391372,76.3153755
Gold Souke Grande,Entertainment,Mall,9.9777644,76.3162269
Holy Tuesday Shopping Mall,Entertainment,Mall,9.9973519,76.2949268
Penta Menaka,Entertainment,Mall,9.9783639,76.2771896
Deer Park - Hill Palace,Entertainment,Park,9.9535845,76.3658229
Nehru Childrens Park,Entertainment,Park,9.967847,76.2428285
XL Hotel,Entertainment,Pub,9.9671028,76.2418186
Ajantha Theaters,Entertainment,Theater,9.9538714,76.2474584
CARNIVAL CINEMAS,Entertainment,Theater,10.1953856,76.3863648
CINEPLUS CINEMAS,Entertainment,Theater,10.0415947,76.3154443
EVM,Entertainment,Theater,9.946793,76.2555873
EVM Cinema,Entertainment,Theater,10.1116451,76.4744017
Kavitha Cinemas,Entertainment,Theater,9.9786868,76.2826142
Kokers Theatre,Entertainment,Theater,9.9594658,76.2448422
Little Shenoy's,Entertainment,Theater,9.976879,76.2847974
M Cinemas,Entertainment,Theater,10.0798212,76.2702523
Mahima,Entertainment,Theater,9.9431723,76.372542
Neelima,Entertainment,Theater,9.9450639,76.3754173
Padma Movie House,Entertainment,Theater,9.9817683,76.282593
PVR Cinemas,Entertainment,Theater,10.028289,76.3080928
Q-Cinemas,Entertainment,Theater,9.9775138,76.3160457
Saritha Savitha Sangeetha,Entertainment,Theater,9.9846037,76.2776535
Shenoys,Entertainment,Theater,9.9768764,76.2846128
Sridhar Cinemas,Entertainment,Theater,9.9793695,76.2765248
Amala Theater,Entertainment,Theater,10.1547021,76.3549171
Folklore Cultural Theatre ,Entertainment,Theater,9.9683847,76.2449112
Kathakali Centre,Entertainment,Theater,9.963898,76.2428693
Matha Madhurya Theatre,Entertainment,Theater,10.1071372,76.3603018
Zeenath Theater,Entertainment,Theater,10.1050433,76.3588894
Beach Garden Cafe,Gastronomy,cafe,9.9650513,76.2388078
Bhagavathi Cafe,Gastronomy,cafe,9.9569539,76.2542733
Burger Hut,Gastronomy,cafe,9.9972025,76.3015431
Burger Spot,Gastronomy,cafe,10.0281641,76.3053848
Café Crafters,Gastronomy,cafe,9.9565008,76.2604001
Cafe Coffee Day,Gastronomy,cafe,9.9658438,76.2418538
Cafe Coffee Day,Gastronomy,cafe,9.9764703,76.2841114
Cafe Coffee Day,Gastronomy,cafe,9.9633177,76.288018
Cafe Coffee Day,Gastronomy,cafe,10.0131825,76.3630331
Cafe Vasco,Gastronomy,cafe,9.9659009,76.2415208
Chaat Corner,Gastronomy,cafe,10.0046639,76.305349
ChaiCofi,Gastronomy,cafe,9.9917884,76.2931768
Cocoacraft Chocolate Factory,Gastronomy,cafe,9.9865342,76.2766272
Costa Coffee,Gastronomy,cafe,10.0273733,76.3083126
Cumbria The Lobby Lounge,Gastronomy,cafe,9.9558162,76.2590182
David Hall,Gastronomy,cafe,9.9650386,76.2393738
Dessert Mist,Gastronomy,cafe,9.9576792,76.2515251
Dhe Kanjikkada,Gastronomy,cafe,10.1010921,76.3482279
Elaf Snacks Kitchen,Gastronomy,cafe,10.107063,76.3643587
Farmer's Café,Gastronomy,cafe,9.9656332,76.241378
French Toast,Gastronomy,cafe,9.9611136,76.2935942
Friends Cafe,Gastronomy,cafe,9.9673955,76.244585
Indian Coffee House,Gastronomy,cafe,9.9733575,76.2798591
Kashi art cafe,Gastronomy,cafe,9.9665944,76.2433721
Lassi Shop,Gastronomy,cafe,9.9946023,76.2923584
Loafers Corner Cafe,Gastronomy,cafe,9.9658011,76.2420598
milma,Gastronomy,cafe,10.041549,76.3287915
Mocha art cafe,Gastronomy,cafe,9.9571619,76.259604
Nena's,Gastronomy,cafe,9.9627881,76.2430516
Oys cafe,Gastronomy,cafe,9.9665566,76.2428351
Oy's Cafe,Gastronomy,cafe,9.9667546,76.2427861
Pai's Cool bar,Gastronomy,cafe,9.957678,76.2514048
Scoops Ice Creams & Desserts,Gastronomy,cafe,10.0257791,76.3065743
Solar Cafe,Gastronomy,cafe,9.9681873,76.2517496
Sridhar Cafe,Gastronomy,cafe,9.9794804,76.2764766
Tea Kochi,Gastronomy,cafe,9.9604421,76.2588699
Tea Pot,Gastronomy,cafe,9.9654881,76.2419781
Waffle House,Gastronomy,cafe,9.9600573,76.2957231
Al Falah,Gastronomy,fast_food,10.1484885,76.2283763
Anoop's Bakers,Gastronomy,fast_food,9.9678047,76.2880173
Asoka Butter Store,Gastronomy,fast_food,9.9682273,76.2855228
Bakery & Fruits Juice,Gastronomy,fast_food,9.9680502,76.2843092
Bismi Fast Food,Gastronomy,fast_food,10.1566837,76.3259973
Brothers Restaurant,Gastronomy,fast_food,10.148993,76.2350308
Burger & More,Gastronomy,fast_food,9.9680469,76.3138077
