Name,Category,Latitude,Longitude
Adoration Chapel,Church,9.982566,76.2751899
Amalolbhava Matha Church,Church,10.1177266,76.2558542
Ashir Bhavan,Church,9.9880174,76.2840928
Capuchian Ashram,Church,10.0985827,76.3535515
Chavara Kuriakose Memorial Chapel,Church,10.099803,76.2658076
Chitrapuzha Kurishu Palli ,Church,9.9597839,76.3680232
Church of God,Church,9.9501385,76.331938
Convent Chapel,Church,10.1216915,76.3390351
Dukrana Hall,Church,9.9067697,76.3056845
"Holy Cross Chapel, Mattancherry Kochi-2",Church,9.9649907,76.2549084
Holy Family Church,Church,9.9917418,76.2819049
Holy Trinity CSI Church,Church,10.1229001,76.3364548
House of Providence Church,Church,9.987151,76.2821294
"Kyomtha Chapel, Thiruvankulam",Church,9.9488365,76.3675531
Little Flower RC church,Church,10.1035403,76.2920674
Mar Bahanam Yacobite Syrian Church,Church,10.162462,76.3525531
Mar Gregorious Chapel,Church,9.9688145,76.3782651
Mary Queen Church,Church,10.0253044,76.3220939
Mulanthuruthy Mor Thoman Jacobite Syrian Cathedral  Church,Church,9.9002129,76.387418
Our Lady of Hope Church,Church,9.9734577,76.2432424
Our Lady of Life's Church,Church,9.9613268,76.2581287
Our Lord of Dolores Church,Church,9.9622083,76.2934507
Pentacost Church,Church,10.1140827,76.3448777
Poikatussery church,Church,10.1636872,76.3402063
Puthenpally New Church,Church,10.082562,76.2725753
Saint Antony's Church,Church,9.9977492,76.2952385
St Augustine Adoration Convent Church,Church,9.9880827,76.2794768
St Joseph'S Church,Church,10.056544,76.3208469
St Mary's Convent,Church,9.9654449,76.2429467
St Mary's Sonoro Church,Church,9.966375,76.3080111
St Sebastian Church,Church,10.0525942,76.3132415
St. Andrews Parish Hall,Church,9.9632069,76.2388381
St. Ann's Church,Church,10.1136483,76.3472941
St. Antony's Church,Church,10.1116225,76.2599945
St. Augustine's Church,Church,10.1148577,76.2003863
St. Francis Assissi Church,Church,10.1530317,76.3543435
St. Francis Xavier Church,Church,9.9858412,76.2943977
"St. George Church, Vennikulam",Church,9.9453976,76.394651
St. George Jacobite Church,Church,10.1414205,76.1983785
St. George Orthodox Koonan Kurish Old Syrian Church,Church,9.9631905,76.2541195
St. Jacob Chapel,Church,9.9548799,76.2594597
St. Joseph's Church,Church,9.9524716,76.3381594
St. Jude Church,Church,9.9422206,76.295476
St. Martin's Church,Church,10.0015582,76.303587
St. Mary's Church,Church,10.0695652,76.2838937
St. Mary's Convent Chapel,Church,9.9821694,76.2782052
St. Mary's Forane Church,Church,9.9446726,76.3484737
St. Michaels Church,Church,10.0110939,76.3205409
St. Peters Kizhake Puthen Palli,Church,10.213993,76.3698145
St. Teresa's Monastery Church,Church,9.9859464,76.2803162
St. Thomas Church Kottakkavu,Church,10.1504364,76.2177872
St.Antony's Church,Church,9.9082595,76.4006428
St.Marys Jacobite Syrian Cathedral Kandanadu,Church,9.9144851,76.3724228
St.Mary's Syrian Orthodox Church,Church,10.1402988,76.198934
Syrian Church,Church,9.9664888,76.2453804
Don Bosco,Church,10.0137686,76.2763004
"Lourd Matha Church, Perumanoor",Church,9.948122,76.2926803
Saint Sebastian's church,Church,9.9773238,76.2946509
St Germains,Church,10.1492098,76.2336088
"St. George's Catholic Church, Thiruvankulam",Church,9.9457719,76.3700207
Al Hilal Juma Masjid,Mosque,9.9995187,76.2799252
Arafa Masjid,Mosque,10.0653205,76.3901018
ASHM Sait Juma Masjid,Mosque,10.1131684,76.3524252
Chembittapally Juma Mosque,Mosque,9.9488526,76.2595062
Cheranalloor Masjid,Mosque,10.0563528,76.2911199
Edapally Mahal Juma Masjid,Mosque,10.0272702,76.3054418
Juma Masjid,Mosque,9.9777464,76.2883219
Kangarapady Mosque,Mosque,10.0422922,76.3533343
Maliakkapady Juma Masjid,Mosque,10.0528401,76.3846922
Masjid Ijabah,Mosque,10.0496995,76.3827451
